Seconds,Temperature
0,150
1,150
2,150
3,150
4,166
5,185
6,193
7,191
8,182
9,172
10,160
11,153
12,151
13,151
14,155
15,161
16,167
17,172
18,175
19,176
20,176
21,176
22,176
23,177
24,177
25,178
26,178
27,179
28,180
29,180
30,180
31,180
32,181
33,181
34,182
35,182
36,182
37,182
38,182
39,181
40,181
41,180
42,182
43,186
44,190
45,194
46,194
47,194
48,193
49,192
50,191
51,191
52,192
53,195
54,200
55,204
56,206
57,205
58,204
59,203
60,201
61,200
62,198
63,197
64,195
65,194
66,195
67,198
68,201
69,206
70,207
71,207
72,206
73,204
74,202
75,201
76,199
77,198
78,198
79,201
80,203
81,207
82,209
83,212
84,211
85,210
86,207
87,204
88,201
89,199
90,198
91,202
92,204
93,208
94,211
95,216
96,216
97,216
98,214
99,211
100,208
101,206
102,205
103,207
104,208
105,211
106,213
107,216
108,218
109,220
110,219
111,217
112,213
113,210
114,208
115,210
116,211
117,215
118,216
119,219
120,221
121,223
122,222
123,219
124,216
125,212
126,210
127,211
128,213
129,216
130,217
131,220
132,221
133,224
134,224
135,226
136,227
137,229
138,228
139,230
140,230
141,227
142,225
143,226
144,226
145,227
146,228
147,229
148,229
149,230
150,230
151,232
152,231
153,233
154,233
155,234
156,233
157,231
158,227
159,224
160,222
161,223
162,228
163,235
164,237
165,240
166,240
167,241
168,238
169,233
170,229
171,224
172,222
173,222
174,226
175,229
176,235
177,242
178,245
179,246
180,245
181,241
182,238
183,236
184,236
185,236
186,237
187,237
188,238
189,239
190,240
191,240
192,240
193,240
194,241
195,241
196,241
197,241
198,241
199,241
200,241
201,240
202,240
203,240
204,243
205,248
206,251
207,252
208,252
209,252
210,252
211,251
212,250
213,250
214,249
215,248
216,248
217,247
218,247
219,248
220,248
221,248
222,249
223,249
224,249
225,248
226,248
227,248
228,252
229,256
230,257
231,257
232,257
233,256
234,256
235,255
236,255
237,254
238,253
239,253
240,256
241,260
242,265
243,270
244,271
245,271
246,269
247,267
248,265
249,262
250,260
251,258
252,257
253,255
254,256
255,258
256,261
257,263
258,264
259,263
260,262
261,260
262,261
263,263
264,266
265,268
266,268
267,266
268,264
269,262
270,263
271,265
272,268
273,270
274,273
275,275
276,274
277,272
278,270
279,269
280,267
281,266
282,268
283,271
284,275
285,279
286,280
287,278
288,275
289,273
290,270
291,268
292,270
293,273
294,275
295,277
296,280
297,281
298,281
299,278
300,276
301,273
302,272
303,273
304,274
305,276
306,277
307,280
308,282
309,285
310,285
311,283
312,281
313,278
314,278
315,280
316,281
317,282
318,285
319,287
320,288
321,286
322,284
323,281
324,280
325,282
326,285
327,288
328,291
329,293
330,294
331,291
332,289
333,285
334,285
335,286
336,289
337,292
338,294
339,297
340,298
341,295
342,293
343,289
344,287
345,286
346,287
