Seconds,Temperature
0,150
1,150
2,150
3,150
4,170
5,192
6,209
7,221
8,224
9,219
10,213
11,203
12,197
13,194
14,194
15,195
16,199
17,202
18,205
19,208
20,210
21,213
22,215
23,217
24,220
25,222
26,223
27,221
28,218
29,215
30,214
31,214
32,216
33,217
34,219
35,220
36,222
37,223
38,225
39,226
40,227
41,227
42,228
43,228
44,229
45,230
46,230
47,230
48,231
49,232
50,233
51,233
52,233
53,232
54,232
55,233
56,233
57,233
58,234
59,234
60,234
61,234
62,234
63,233
64,234
65,234
66,237
67,241
68,244
69,244
70,244
71,243
72,242
73,241
74,241
75,239
76,240
77,239
78,240
79,240
80,240
81,240
82,241
83,244
84,247
85,250
86,251
87,250
88,250
89,248
90,248
91,246
92,246
93,244
94,245
95,246
96,249
97,252
98,253
99,251
100,251
101,249
102,250
103,251
104,253
105,255
106,256
107,255
108,254
109,252
110,250
111,248
112,248
113,250
114,254
115,258
116,261
117,263
118,264
119,262
120,260
121,257
122,257
123,259
124,262
125,266
126,267
127,266
128,265
129,262
130,259
131,256
132,256
133,258
134,262
135,266
136,269
137,272
138,274
139,272
140,271
141,267
142,266
143,266
144,266
145,267
146,268
147,270
148,272
149,275
150,275
151,273
152,274
153,275
154,277
155,280
156,281
157,278
158,276
159,272
160,271
161,272
162,275
163,277
164,279
165,282
166,283
167,285
168,285
169,281
170,278
171,273
172,271
173,272
174,276
175,282
176,286
177,288
178,290
179,292
180,291
181,287
182,287
183,287
184,288
185,290
186,291
187,291
188,291
189,291
190,290
191,288
192,288
193,287
194,287
195,287
196,288
197,289
198,290
199,292
200,293
201,294
202,294
203,293
204,292
205,292
206,291
207,290
208,289
209,289
210,289
211,290
212,292
213,296
214,299
215,299
216,298
217,296
218,295
219,293
220,293
221,297
222,300
223,305
224,308
225,309
226,309
227,308
228,308
229,308
230,307
231,306
232,307
233,310
234,310
235,309
236,308
237,307
238,307
239,304
240,304
241,307
242,310
243,314
244,316
245,316
246,316
247,315
248,314
249,313
250,312
251,311
252,312
253,314
254,316
255,320
256,321
257,320
258,317
259,314
260,313
261,314
262,316
263,318
264,321
265,323
266,325
267,327
268,327
269,326
270,324
271,322
272,321
273,323
274,325
275,327
276,329
277,332
278,331
279,328
280,325
281,321
282,318
283,320
284,321
285,324
286,325
287,327
288,328
289,330
290,332
291,334
292,335
293,337
294,337
295,339
296,339
297,340
298,339
299,337
300,336
301,336
302,337
303,338
304,338
305,340
306,341
307,342
308,341
309,343
310,343
311,345
312,344
313,345
314,345
315,345
316,346
317,346
318,346
319,346
320,345
321,344
322,342
323,341
324,341
325,342
326,342
327,344
328,345
329,345
330,346
331,347
332,348
333,349
334,348
335,348
336,347
337,348
338,347
339,347
340,347
341,347
342,346
343,347
344,347
345,347
346,346
