Seconds,Temperature
0,150
1,150
2,150
3,150
4,170
5,185
6,193
7,197
8,192
9,186
10,178
11,172
12,168
13,167
14,173
15,181
16,191
17,199
18,203
19,207
20,206
21,203
22,200
23,196
24,192
25,190
26,190
27,192
28,194
29,197
30,199
31,201
32,204
33,206
34,208
35,210
36,208
37,205
38,201
39,197
40,196
41,199
42,204
43,208
44,211
45,213
46,215
47,215
48,213
49,210
50,209
51,209
52,210
53,212
54,213
55,215
56,216
57,218
58,218
59,220
60,220
61,222
62,222
63,223
64,223
65,224
66,222
67,218
68,216
69,215
70,215
71,216
72,216
73,218
74,219
75,220
76,220
77,222
78,221
79,223
80,222
81,224
82,223
83,225
84,225
85,227
86,226
87,227
88,226
89,227
90,227
91,229
92,228
93,229
94,228
95,229
96,228
97,229
98,229
99,230
100,230
101,230
102,229
103,230
104,228
105,229
106,228
107,228
108,230
109,233
110,233
111,234
112,233
113,234
114,233
115,233
116,235
117,238
118,237
119,238
120,236
121,237
122,240
123,244
124,249
125,253
126,252
127,252
128,249
129,248
130,245
131,244
132,242
133,241
134,239
135,238
136,239
137,242
138,244
139,247
140,246
141,245
142,246
143,247
144,249
145,251
146,254
147,257
148,256
149,255
150,252
151,250
152,250
153,252
154,255
155,258
156,258
157,257
158,254
159,253
160,251
161,249
162,250
163,251
164,253
165,255
166,257
167,258
168,260
169,261
170,262
171,263
172,263
173,265
174,266
175,268
176,266
177,264
178,260
179,257
180,257
181,259
182,262
183,265
184,268
185,270
186,272
187,274
188,273
189,270
190,267
191,264
192,263
193,265
194,266
195,267
196,267
197,268
198,270
199,272
200,273
201,275
202,277
203,279
204,281
205,282
206,282
207,283
208,285
209,286
210,283
211,280
212,279
213,279
214,280
215,281
216,282
217,281
218,280
219,280
220,279
221,279
222,280
223,280
224,280
225,279
226,279
227,278
228,278
229,277
230,276
231,276
232,280
233,284
234,289
235,292
236,292
237,291
238,290
239,288
240,286
241,285
242,288
243,290
244,295
245,299
246,301
247,302
248,301
249,301
250,300
251,300
252,299
253,299
254,298
255,298
256,298
257,296
258,294
259,293
260,291
261,290
262,292
263,294
264,298
265,300
266,304
267,307
268,308
269,308
270,307
271,306
272,306
273,305
274,304
275,304
276,307
277,309
278,310
279,309
280,309
281,308
282,307
283,305
284,307
285,308
286,312
287,314
288,314
289,314
290,313
291,311
292,314
293,314
294,314
295,312
296,311
297,310
298,312
299,314
300,318
301,320
302,323
303,324
304,321
305,318
306,316
307,311
308,312
309,313
310,316
311,320
312,321
313,323
314,325
315,326
316,325
317,321
318,320
319,321
320,321
321,323
322,325
323,326
324,327
325,328
326,327
327,323
328,322
329,323
330,325
331,327
332,328
333,330
334,330
335,331
336,332
337,333
338,332
339,330
340,329
341,330
342,330
343,332
344,332
345,334
346,335
