Seconds,Temperature
0,150
1,150
2,150
3,150
4,167
5,182
6,187
7,183
8,175
9,166
10,162
11,157
12,155
13,151
14,152
15,154
16,157
17,160
18,161
19,165
20,166
21,168
22,170
23,171
24,173
25,174
26,174
27,175
28,175
29,175
30,175
31,175
32,175
33,175
34,175
35,175
36,177
37,181
38,186
39,191
40,193
41,193
42,192
43,190
44,189
45,187
46,185
47,185
48,184
49,184
50,185
51,189
52,193
53,197
54,200
55,201
56,201
57,199
58,198
59,197
60,195
61,195
62,194
63,193
64,192
65,191
66,193
67,195
68,200
69,203
70,206
71,206
72,204
73,201
74,199
75,196
76,193
77,191
78,192
79,194
80,201
81,210
82,215
83,218
84,218
85,215
86,211
87,207
88,204
89,200
90,199
91,201
92,205
93,211
94,217
95,223
96,226
97,227
98,226
99,223
100,220
101,216
102,214
103,214
104,215
105,217
106,218
107,220
108,224
109,230
110,233
111,235
112,235
113,235
114,235
115,234
116,234
117,233
118,233
119,232
120,231
121,230
122,233
123,237
124,242
125,247
126,249
127,249
128,247
129,245
130,243
131,241
132,240
133,238
134,236
135,235
136,239
137,242
138,247
139,253
140,258
141,262
142,264
143,262
144,260
145,257
146,255
147,252
148,250
149,247
150,248
151,251
152,254
153,256
154,257
155,255
156,255
157,257
158,260
159,264
160,267
161,270
162,273
163,275
164,275
165,272
166,269
167,265
168,263
169,265
170,267
171,270
172,270
173,268
174,267
175,269
176,273
177,279
178,283
179,285
180,287
181,288
182,287
183,282
184,278
185,273
186,270
187,268
188,271
189,276
190,279
191,279
192,283
193,291
194,299
195,308
196,314
197,318
198,318
199,317
200,315
201,313
202,309
203,304
204,300
205,297
206,297
207,299
208,301
209,304
210,306
211,308
212,307
213,305
214,302
215,299
216,300
217,302
218,306
219,309
220,308
221,306
222,307
223,311
224,317
225,323
226,327
227,330
228,330
229,331
230,331
231,330
232,330
233,330
234,330
235,331
236,332
237,332
238,332
239,332
240,329
241,325
242,323
243,323
244,324
245,325
246,326
247,327
248,328
249,330
250,330
251,331
252,332
253,335
254,339
255,343
256,345
257,346
258,345
259,344
260,342
261,341
262,340
263,339
264,339
265,340
266,339
267,339
268,341
269,345
270,346
271,347
272,347
273,346
274,345
275,343
276,342
277,341
278,340
279,339
280,340
281,342
282,345
283,349
284,352
285,355
286,358
287,360
288,360
289,360
290,358
291,356
292,356
293,357
294,360
295,362
296,364
297,363
298,362
299,360
300,358
301,356
302,354
303,356
304,358
305,360
306,362
307,362
308,359
309,358
310,354
311,353
312,351
313,352
314,354
315,361
316,366
317,369
318,371
319,372
320,373
321,373
322,373
323,372
324,369
325,366
326,364
327,364
328,366
329,367
330,370
331,372
332,373
333,375
334,376
335,375
336,372
337,368
338,366
339,363
340,361
341,362
342,364
343,371
344,375
345,377
346,378
