Seconds,Temperature
0,150
1,150
2,150
3,150
4,173
5,190
6,197
7,202
8,200
9,195
10,188
11,180
12,177
13,176
14,177
15,182
16,186
17,190
18,194
19,198
20,198
21,197
22,200
23,206
24,216
25,225
26,231
27,236
28,237
29,237
30,234
31,234
32,232
33,231
34,229
35,228
36,227
37,226
38,228
39,231
40,236
41,242
42,250
43,256
44,260
45,262
46,260
47,258
48,253
49,251
50,252
51,254
52,254
53,255
54,255
55,256
56,256
57,256
58,257
59,259
60,262
61,265
62,269
63,274
64,280
65,283
66,285
67,285
68,285
69,283
70,281
71,279
72,276
73,275
74,273
75,272
76,275
77,278
78,282
79,284
80,284
81,283
82,285
83,287
84,290
85,291
86,294
87,296
88,299
89,301
90,303
91,304
92,304
93,302
94,299
95,297
96,298
97,299
98,302
99,302
100,300
101,296
102,298
103,302
104,308
105,313
106,317
107,317
108,318
109,317
110,317
111,316
112,317
113,317
114,317
115,316
116,317
117,316
118,316
119,315
120,315
121,314
122,315
123,314
124,314
125,314
126,315
127,318
128,322
129,326
130,327
131,327
132,328
133,326
134,326
135,325
136,325
137,324
138,324
139,323
140,324
141,323
142,324
143,326
144,329
145,332
146,335
147,339
148,340
149,339
150,339
151,336
152,335
153,332
154,330
155,328
156,328
157,332
158,335
159,338
160,340
161,340
162,340
163,342
164,345
165,348
166,350
167,352
168,352
169,348
170,346
171,342
172,342
173,343
174,345
175,348
176,351
177,353
178,353
179,351
180,348
181,345
182,344
183,345
184,346
185,349
186,351
187,352
188,353
189,355
190,356
191,357
192,359
193,360
194,362
195,363
196,362
197,358
198,355
199,351
200,349
201,349
202,350
203,351
204,353
205,354
206,355
207,357
208,358
209,359
210,361
211,362
212,363
213,363
214,364
215,364
216,363
217,364
218,365
219,365
220,366
221,367
222,367
223,368
224,369
225,370
226,368
227,365
228,364
229,364
230,366
231,366
232,367
233,367
234,367
235,367
236,367
237,367
238,367
239,367
240,368
241,369
242,370
243,371
244,372
245,373
246,372
247,373
248,372
249,371
250,371
251,371
252,371
253,372
254,373
255,373
256,374
257,375
258,375
259,375
260,375
261,375
262,376
263,376
264,376
265,376
266,376
267,375
268,375
269,374
270,373
271,373
272,372
273,371
274,371
275,371
276,371
277,371
278,372
279,372
280,373
281,373
282,376
283,381
284,383
285,384
286,385
287,384
288,383
289,382
290,381
291,380
292,380
293,379
294,378
295,378
296,376
297,376
298,376
299,375
300,376
301,380
302,382
303,382
304,382
305,381
306,381
307,380
308,378
309,378
310,378
311,380
312,381
313,385
314,387
315,388
316,388
317,387
318,387
319,385
320,384
321,382
322,381
323,380
324,381
325,384
326,386
327,391
328,392
329,392
330,392
331,390
332,390
333,389
334,388
335,387
336,386
337,385
338,383
339,382
340,382
341,381
342,381
343,385
344,387
345,392
346,393
