Seconds,Temperature
0,150
1,150
2,150
3,176
4,192
5,203
6,208
7,209
8,208
9,207
10,205
11,203
12,201
13,199
14,200
15,203
16,205
17,209
18,213
19,216
20,216
21,215
22,212
23,210
24,208
25,210
26,212
27,215
28,217
29,219
30,220
31,223
32,224
33,226
34,226
35,228
36,228
37,230
38,230
39,232
40,230
41,227
42,225
43,226
44,226
45,227
46,228
47,230
48,231
49,232
50,232
51,233
52,233
53,234
54,234
55,235
56,234
57,235
58,235
59,235
60,235
61,237
62,235
63,236
64,235
65,236
66,236
67,236
68,236
69,236
70,235
71,236
72,236
73,237
74,241
75,246
76,246
77,247
78,247
79,247
80,246
81,246
82,245
83,245
84,244
85,244
86,243
87,244
88,243
89,243
90,243
91,243
92,247
93,252
94,252
95,253
96,252
97,252
98,249
99,248
100,246
101,246
102,247
103,251
104,256
105,260
106,260
107,260
108,258
109,256
110,254
111,251
112,250
113,249
114,251
115,254
116,256
117,259
118,260
119,259
120,258
121,257
122,258
123,261
124,264
125,267
126,268
127,267
128,265
129,262
130,260
131,258
132,260
133,262
134,264
135,266
136,267
137,269
138,268
139,266
140,263
141,260
142,259
143,260
144,262
145,263
146,264
147,266
148,267
149,268
150,269
151,269
152,270
153,271
154,271
155,272
156,273
157,273
158,275
159,277
160,279
161,281
162,283
163,284
164,286
165,287
166,285
167,282
168,277
169,273
170,273
171,274
172,279
173,284
174,287
175,288
176,289
177,289
178,286
179,282
180,279
181,278
182,280
183,281
184,282
185,283
186,285
187,287
188,289
189,290
190,292
191,294
192,295
193,295
194,295
195,295
196,293
197,292
198,290
199,289
200,287
201,287
202,290
203,293
204,293
205,293
206,292
207,291
208,289
209,288
210,292
211,295
212,300
213,303
214,302
215,302
216,301
217,301
218,301
219,301
220,301
221,301
222,302
223,301
224,302
225,301
226,301
227,300
228,303
229,305
230,304
231,303
232,304
233,307
234,309
235,312
236,311
237,310
238,307
239,304
240,304
241,306
242,308
243,311
244,313
245,316
246,316
247,316
248,315
249,314
250,313
251,311
252,312
253,315
254,317
255,319
256,321
257,323
258,321
259,318
260,315
261,311
262,310
263,311
264,314
265,316
266,318
267,321
268,323
269,325
270,326
271,328
272,330
273,332
274,330
275,327
276,327
277,327
278,327
279,328
280,329
281,330
282,331
283,332
284,333
285,334
286,332
287,330
288,330
289,330
290,332
291,334
292,335
293,337
294,337
295,339
296,338
297,336
298,333
299,330
300,330
301,332
302,333
303,334
304,335
305,336
306,337
307,338
308,339
309,340
310,340
311,340
312,340
313,340
314,340
315,340
316,341
317,341
318,341
319,341
320,342
321,342
322,342
323,343
324,343
325,345
326,345
327,345
328,345
329,345
330,346
331,346
332,346
333,346
334,346
335,347
336,347
337,348
338,348
339,348
340,348
341,348
342,348
343,349
344,348
345,348
346,350
