Seconds,Temperature
0,150
1,150
2,150
3,150
4,166
5,191
6,208
7,220
8,223
9,220
10,212
11,202
12,195
13,189
14,190
15,194
16,198
17,204
18,209
19,215
20,217
21,219
22,218
23,218
24,217
25,218
26,217
27,218
28,221
29,226
30,230
31,234
32,235
33,235
34,232
35,231
36,229
37,228
38,225
39,225
40,227
41,231
42,236
43,240
44,240
45,240
46,236
47,234
48,231
49,230
50,230
51,232
52,234
53,236
54,238
55,240
56,242
57,245
58,244
59,243
60,240
61,239
62,241
63,243
64,246
65,250
66,248
67,247
68,244
69,242
70,241
71,242
72,243
73,244
74,245
75,246
76,247
77,248
78,250
79,251
80,254
81,256
82,254
83,252
84,248
85,246
86,245
87,246
88,246
89,248
90,250
91,252
92,253
93,254
94,255
95,255
96,255
97,255
98,255
99,255
100,255
101,255
102,255
103,256
104,256
105,258
106,259
107,261
108,263
109,265
110,266
111,265
112,265
113,265
114,263
115,263
116,262
117,262
118,262
119,262
120,262
121,262
122,261
123,261
124,261
125,261
126,262
127,263
128,265
129,266
130,267
131,268
132,270
133,271
134,271
135,272
136,273
137,274
138,275
139,276
140,276
141,277
142,277
143,278
144,278
145,278
146,278
147,279
148,279
149,279
150,280
151,280
152,280
153,278
154,277
155,275
156,273
157,271
158,270
159,268
160,271
161,274
162,278
163,282
164,286
165,289
166,290
167,290
168,289
169,287
170,287
171,285
172,285
173,284
174,284
175,284
176,282
177,281
178,283
179,285
180,288
181,290
182,293
183,295
184,293
185,290
186,289
187,287
188,289
189,290
190,294
191,296
192,299
193,301
194,299
195,296
196,293
197,290
198,291
199,291
200,294
201,295
202,298
203,300
204,302
205,304
206,303
207,302
208,300
209,298
210,299
211,300
212,302
213,303
214,305
215,305
216,307
217,307
218,309
219,309
220,306
221,303
222,304
223,303
224,305
225,306
226,308
227,308
228,309
229,309
230,310
231,310
232,311
233,312
234,313
235,314
236,315
237,315
238,316
239,315
240,316
241,315
242,316
243,315
244,315
245,315
246,315
247,315
248,315
249,315
250,316
251,316
252,317
253,318
254,319
255,319
256,319
257,318
258,319
259,318
260,320
261,319
262,320
263,323
264,326
265,329
266,330
267,329
268,328
269,326
270,325
271,322
272,322
273,325
274,328
275,332
276,335
277,339
278,340
279,339
280,338
281,336
282,334
283,332
284,330
285,328
286,330
287,330
288,333
289,335
290,337
291,340
292,340
293,340
294,338
295,335
296,335
297,336
298,338
299,341
300,342
301,342
302,342
303,343
304,345
305,347
306,348
307,347
308,345
309,342
310,342
311,342
312,344
313,346
314,349
315,351
316,351
317,350
318,346
319,344
320,343
321,344
322,345
323,346
324,349
325,350
326,352
327,353
328,354
329,355
330,354
331,352
332,351
333,351
334,353
335,354
336,356
337,357
338,358
339,358
340,357
341,355
342,353
343,353
344,354
345,354
346,355
